code,計算書,別表,テーブル,L0,区分,L1,活動・部,L2,大区分,L3,中区分,L3.5,内訳グループ,L4,小区分,階層種別,正規名,is_amount,is_total,is_optional
CF-01-01-01-01-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,01,施設介護料収入,00,,01,介護報酬収入,小区分,介護報酬収入,1,0,0
CF-01-01-01-01-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,01,施設介護料収入,00,,02,利用者負担金収入（公費）,小区分,利用者負担金収入（公費）,1,0,0
CF-01-01-01-01-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,01,施設介護料収入,00,,03,利用者負担金収入（一般）,小区分,利用者負担金収入（一般）,1,0,0
CF-01-01-01-02-00-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,02,居宅介護料収入,00,,00,,中区分,居宅介護料収入,1,0,0
CF-01-01-01-02-01-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,02,居宅介護料収入,01,（介護報酬収入）,01,介護報酬収入,小区分,介護報酬収入,1,0,0
CF-01-01-01-02-01-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,02,居宅介護料収入,01,（介護報酬収入）,02,介護予防報酬収入,小区分,介護予防報酬収入,1,0,0
CF-01-01-01-02-02-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,02,居宅介護料収入,02,（利用者負担金収入）,01,介護負担金収入（公費）,小区分,介護負担金収入（公費）,1,0,0
CF-01-01-01-02-02-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,02,居宅介護料収入,02,（利用者負担金収入）,02,介護負担金収入（一般）,小区分,介護負担金収入（一般）,1,0,0
CF-01-01-01-02-02-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,02,居宅介護料収入,02,（利用者負担金収入）,03,介護予防負担金収入（公費）,小区分,介護予防負担金収入（公費）,1,0,0
CF-01-01-01-02-02-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,02,居宅介護料収入,02,（利用者負担金収入）,04,介護予防負担金収入（一般）,小区分,介護予防負担金収入（一般）,1,0,0
CF-01-01-01-03-00-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,03,地域密着型介護料収入,00,,00,,中区分,地域密着型介護料収入,1,0,0
CF-01-01-01-03-01-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,03,地域密着型介護料収入,01,（介護報酬収入）,01,介護報酬収入,小区分,介護報酬収入,1,0,0
CF-01-01-01-03-01-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,03,地域密着型介護料収入,01,（介護報酬収入）,02,介護予防報酬収入,小区分,介護予防報酬収入,1,0,0
CF-01-01-01-03-02-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,03,地域密着型介護料収入,02,（利用者負担金収入）,01,介護負担金収入（公費）,小区分,介護負担金収入（公費）,1,0,0
CF-01-01-01-03-02-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,03,地域密着型介護料収入,02,（利用者負担金収入）,02,介護負担金収入（一般）,小区分,介護負担金収入（一般）,1,0,0
CF-01-01-01-03-02-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,03,地域密着型介護料収入,02,（利用者負担金収入）,03,介護予防負担金収入（公費）,小区分,介護予防負担金収入（公費）,1,0,0
CF-01-01-01-03-02-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,03,地域密着型介護料収入,02,（利用者負担金収入）,04,介護予防負担金収入（一般）,小区分,介護予防負担金収入（一般）,1,0,0
CF-01-01-01-04-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,04,居宅介護支援介護料収入,00,,01,居宅介護支援介護料収入,小区分,居宅介護支援介護料収入,1,0,0
CF-01-01-01-04-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,04,居宅介護支援介護料収入,00,,02,介護予防支援介護料収入,小区分,介護予防支援介護料収入,1,0,0
CF-01-01-01-05-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,05,介護予防・日常生活支援総合事業収入,00,,01,事業費収入,小区分,事業費収入,1,0,0
CF-01-01-01-05-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,05,介護予防・日常生活支援総合事業収入,00,,02,事業負担金収入（公費）,小区分,事業負担金収入（公費）,1,0,0
CF-01-01-01-05-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,05,介護予防・日常生活支援総合事業収入,00,,03,事業負担金収入（一般）,小区分,事業負担金収入（一般）,1,0,0
CF-01-01-01-06-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,01,施設サービス利用料収入,小区分,施設サービス利用料収入,1,0,0
CF-01-01-01-06-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,02,居宅介護サービス利用料収入,小区分,居宅介護サービス利用料収入,1,0,0
CF-01-01-01-06-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,03,地域密着型介護サービス利用料収入,小区分,地域密着型介護サービス利用料収入,1,0,0
CF-01-01-01-06-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,04,食費収入（公費）,小区分,食費収入（公費）,1,0,0
CF-01-01-01-06-00-05,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,05,食費収入（一般）,小区分,食費収入（一般）,1,0,0
CF-01-01-01-06-00-06,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,06,食費収入（特定）,小区分,食費収入（特定）,1,0,0
CF-01-01-01-06-00-07,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,07,居住費収入（公費）,小区分,居住費収入（公費）,1,0,0
CF-01-01-01-06-00-08,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,08,居住費収入（一般）,小区分,居住費収入（一般）,1,0,0
CF-01-01-01-06-00-09,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,09,居住費収入（特定）,小区分,居住費収入（特定）,1,0,0
CF-01-01-01-06-00-10,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,10,介護予防・日常生活支援総合事業利用料収入,小区分,介護予防・日常生活支援総合事業利用料収入,1,0,0
CF-01-01-01-06-00-11,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,06,利用者等利用料収入,00,,11,その他の利用料収入,小区分,その他の利用料収入,1,0,0
CF-01-01-01-07-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,07,その他の事業収入,00,,01,補助金事業収入（公費）,小区分,補助金事業収入（公費）,1,0,0
CF-01-01-01-07-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,07,その他の事業収入,00,,02,補助金事業収入（一般）,小区分,補助金事業収入（一般）,1,0,0
CF-01-01-01-07-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,07,その他の事業収入,00,,03,市町村特別事業収入（公費）,小区分,市町村特別事業収入（公費）,1,0,0
CF-01-01-01-07-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,07,その他の事業収入,00,,04,市町村特別事業収入（一般）,小区分,市町村特別事業収入（一般）,1,0,0
CF-01-01-01-07-00-05,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,07,その他の事業収入,00,,05,受託事業収入（公費）,小区分,受託事業収入（公費）,1,0,0
CF-01-01-01-07-00-06,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,07,その他の事業収入,00,,06,受託事業収入（一般）,小区分,受託事業収入（一般）,1,0,0
CF-01-01-01-07-00-07,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,07,その他の事業収入,00,,07,その他の事業収入,小区分,その他の事業収入,1,0,0
CF-01-01-01-07-01-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,01,介護保険事業収入,07,その他の事業収入,01,（保険等査定減）,00,,内訳グループ,（保険等査定減）,1,0,0
CF-01-01-02-01-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,01,措置事業収入,00,,01,事務費収入,小区分,事務費収入,1,0,0
CF-01-01-02-01-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,01,措置事業収入,00,,02,事業費収入,小区分,事業費収入,1,0,0
CF-01-01-02-01-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,01,措置事業収入,00,,03,その他の利用料収入,小区分,その他の利用料収入,1,0,0
CF-01-01-02-01-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,01,措置事業収入,00,,04,その他の事業収入,小区分,その他の事業収入,1,0,0
CF-01-01-02-02-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,02,運営事業収入,00,,01,管理費収入,小区分,管理費収入,1,0,0
CF-01-01-02-02-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,02,運営事業収入,00,,02,その他の利用料収入,小区分,その他の利用料収入,1,0,0
CF-01-01-02-02-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,02,運営事業収入,00,,03,補助金事業収入（公費）,小区分,補助金事業収入（公費）,1,0,0
CF-01-01-02-02-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,02,運営事業収入,00,,04,補助金事業収入（一般）,小区分,補助金事業収入（一般）,1,0,0
CF-01-01-02-02-00-05,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,02,運営事業収入,00,,05,その他の事業収入,小区分,その他の事業収入,1,0,0
CF-01-01-02-03-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,03,その他の事業収入,00,,01,管理費収入,小区分,管理費収入,1,0,0
CF-01-01-02-03-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,03,その他の事業収入,00,,02,その他の利用料収入,小区分,その他の利用料収入,1,0,0
CF-01-01-02-03-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,02,老人福祉事業収入,03,その他の事業収入,00,,03,その他の事業収入,小区分,その他の事業収入,1,0,0
CF-01-01-03-01-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,03,児童福祉事業収入,01,措置費収入,00,,01,事務費収入,小区分,事務費収入,1,0,0
CF-01-01-03-01-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,03,児童福祉事業収入,01,措置費収入,00,,02,事業費収入,小区分,事業費収入,1,0,0
CF-01-01-03-02-00-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,03,児童福祉事業収入,02,私的契約利用料収入,00,,00,,中区分,私的契約利用料収入,1,0,0
CF-01-01-03-03-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,03,児童福祉事業収入,03,その他の事業収入,00,,01,補助金事業収入（公費）,小区分,補助金事業収入（公費）,1,0,0
CF-01-01-03-03-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,03,児童福祉事業収入,03,その他の事業収入,00,,02,補助金事業収入（一般）,小区分,補助金事業収入（一般）,1,0,0
CF-01-01-03-03-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,03,児童福祉事業収入,03,その他の事業収入,00,,03,受託事業収入（公費）,小区分,受託事業収入（公費）,1,0,0
CF-01-01-03-03-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,03,児童福祉事業収入,03,その他の事業収入,00,,04,受託事業収入（一般）,小区分,受託事業収入（一般）,1,0,0
CF-01-01-03-03-00-05,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,03,児童福祉事業収入,03,その他の事業収入,00,,05,その他の事業収入,小区分,その他の事業収入,1,0,0
CF-01-01-04-01-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,01,施設型給付費収入,00,,01,施設型給付費収入,小区分,施設型給付費収入,1,0,0
CF-01-01-04-01-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,01,施設型給付費収入,00,,02,利用者負担金収入,小区分,利用者負担金収入,1,0,0
CF-01-01-04-02-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,02,特例施設型給付費収入,00,,01,特例施設型給付費収入,小区分,特例施設型給付費収入,1,0,0
CF-01-01-04-02-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,02,特例施設型給付費収入,00,,02,利用者負担金収入,小区分,利用者負担金収入,1,0,0
CF-01-01-04-03-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,03,地域型保育給付費収入,00,,01,地域型保育給付費収入,小区分,地域型保育給付費収入,1,0,0
CF-01-01-04-03-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,03,地域型保育給付費収入,00,,02,利用者負担金収入,小区分,利用者負担金収入,1,0,0
CF-01-01-04-04-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,04,特例地域型保育給付費収入,00,,01,特例地域型保育給付費収入,小区分,特例地域型保育給付費収入,1,0,0
CF-01-01-04-04-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,04,特例地域型保育給付費収入,00,,02,利用者負担金収入,小区分,利用者負担金収入,1,0,0
CF-01-01-04-05-00-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,05,委託費収入,00,,00,,中区分,委託費収入,1,0,0
CF-01-01-04-06-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,06,利用者等利用料収入,00,,01,利用者等利用料収入（公費）,小区分,利用者等利用料収入（公費）,1,0,0
CF-01-01-04-06-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,06,利用者等利用料収入,00,,02,利用者等利用料収入（一般）,小区分,利用者等利用料収入（一般）,1,0,0
CF-01-01-04-06-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,06,利用者等利用料収入,00,,03,その他の利用料収入,小区分,その他の利用料収入,1,0,0
CF-01-01-04-07-00-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,07,私的契約利用料収入,00,,00,,中区分,私的契約利用料収入,1,0,0
CF-01-01-04-08-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,08,その他の事業収入,00,,01,補助金事業収入（公費）,小区分,補助金事業収入（公費）,1,0,0
CF-01-01-04-08-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,08,その他の事業収入,00,,02,補助金事業収入（一般）,小区分,補助金事業収入（一般）,1,0,0
CF-01-01-04-08-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,08,その他の事業収入,00,,03,受託事業収入（公費）,小区分,受託事業収入（公費）,1,0,0
CF-01-01-04-08-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,08,その他の事業収入,00,,04,受託事業収入（一般）,小区分,受託事業収入（一般）,1,0,0
CF-01-01-04-08-00-05,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,04,保育事業収入,08,その他の事業収入,00,,05,その他の事業収入,小区分,その他の事業収入,1,0,0
CF-01-01-05-00-00-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,05,就労支援事業収入,00,,00,,00,,大区分,就労支援事業収入,1,0,0
CF-01-01-06-01-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,01,自立支援給付費収入,00,,01,介護給付費収入,小区分,介護給付費収入,1,0,0
CF-01-01-06-01-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,01,自立支援給付費収入,00,,02,特例介護給付費収入,小区分,特例介護給付費収入,1,0,0
CF-01-01-06-01-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,01,自立支援給付費収入,00,,03,訓練等給付費収入,小区分,訓練等給付費収入,1,0,0
CF-01-01-06-01-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,01,自立支援給付費収入,00,,04,特例訓練等給付費収入,小区分,特例訓練等給付費収入,1,0,0
CF-01-01-06-01-00-05,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,01,自立支援給付費収入,00,,05,地域相談支援給付費収入,小区分,地域相談支援給付費収入,1,0,0
CF-01-01-06-01-00-06,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,01,自立支援給付費収入,00,,06,特例地域相談支援給付費収入,小区分,特例地域相談支援給付費収入,1,0,0
CF-01-01-06-01-00-07,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,01,自立支援給付費収入,00,,07,計画相談支援給付費収入,小区分,計画相談支援給付費収入,1,0,0
CF-01-01-06-01-00-08,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,01,自立支援給付費収入,00,,08,特例計画相談支援給付費収入,小区分,特例計画相談支援給付費収入,1,0,0
CF-01-01-06-02-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,02,障害児施設給付費収入,00,,01,障害児通所給付費収入,小区分,障害児通所給付費収入,1,0,0
CF-01-01-06-02-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,02,障害児施設給付費収入,00,,02,特例障害児通所給付費収入,小区分,特例障害児通所給付費収入,1,0,0
CF-01-01-06-02-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,02,障害児施設給付費収入,00,,03,障害児入所給付費収入,小区分,障害児入所給付費収入,1,0,0
CF-01-01-06-02-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,02,障害児施設給付費収入,00,,04,障害児相談支援給付費収入,小区分,障害児相談支援給付費収入,1,0,0
CF-01-01-06-02-00-05,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,02,障害児施設給付費収入,00,,05,特例障害児相談支援給付費収入,小区分,特例障害児相談支援給付費収入,1,0,0
CF-01-01-06-03-00-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,03,利用者負担金収入,00,,00,,中区分,利用者負担金収入,1,0,0
CF-01-01-06-04-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,04,補足給付費収入,00,,01,特定障害者特別給付費収入,小区分,特定障害者特別給付費収入,1,0,0
CF-01-01-06-04-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,04,補足給付費収入,00,,02,特例特定障害者特別給付費収入,小区分,特例特定障害者特別給付費収入,1,0,0
CF-01-01-06-04-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,04,補足給付費収入,00,,03,特定入所障害児食費等給付費収入,小区分,特定入所障害児食費等給付費収入,1,0,0
CF-01-01-06-05-00-00,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,05,特定費用収入,00,,00,,中区分,特定費用収入,1,0,0
CF-01-01-06-06-00-01,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,06,その他の事業収入,00,,01,補助金事業収入（公費）,小区分,補助金事業収入（公費）,1,0,0
CF-01-01-06-06-00-02,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,06,その他の事業収入,00,,02,補助金事業収入（一般）,小区分,補助金事業収入（一般）,1,0,0
CF-01-01-06-06-00-03,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,06,その他の事業収入,00,,03,受託事業収入（公費）,小区分,受託事業収入（公費）,1,0,0
CF-01-01-06-06-00-04,CF,別表第一_資金収支計算書,0,01,収入,01,事業活動による収支,06,障害福祉サービス等事業収入,06,その他の事業収入,00,,04,受託事業収入（一般）,小区分,受託事業収入（一般）,1,0,0
